epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,6943.05,0.9139,0.48779,0.98341,0.99006,0.99093,0.99413,0.73361,0.97421,0.4787,0.96647,0.00159675,0.00053225,0.00159675,0.00053225,0.00159675,0.00053225,0.00159675,0.00053225
31,7179.03,0.91258,0.48229,0.98258,0.98694,0.99312,0.99369,0.73149,0.97806,0.47277,0.97026,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075
32,7410.39,0.91814,0.48371,0.97979,0.98876,0.9934,0.9936,0.73654,0.97496,0.46459,0.9671,0.00144825,0.00048275,0.00144825,0.00048275,0.00144825,0.00048275,0.00144825,0.00048275
33,7649.98,0.90599,0.47339,0.9778,0.98633,0.99202,0.99381,0.7381,0.97726,0.45658,0.96495,0.001374,0.000458,0.001374,0.000458,0.001374,0.000458,0.001374,0.000458
34,7891.51,0.89825,0.46517,0.97905,0.98816,0.99248,0.99375,0.73867,0.97646,0.44948,0.96853,0.00129975,0.00043325,0.00129975,0.00043325,0.00129975,0.00043325,0.00129975,0.00043325
35,8134.31,0.90426,0.46468,0.97717,0.98679,0.99268,0.99342,0.74267,0.97919,0.45569,0.96769,0.0012255,0.0004085,0.0012255,0.0004085,0.0012255,0.0004085,0.0012255,0.0004085
36,8373.74,0.90315,0.46065,0.97816,0.99028,0.9916,0.99398,0.74662,0.97395,0.44482,0.96459,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375
37,8614.31,0.893,0.45752,0.97564,0.99011,0.99048,0.99411,0.74242,0.97517,0.44442,0.96812,0.001077,0.000359,0.001077,0.000359,0.001077,0.000359,0.001077,0.000359
38,8855.59,0.88976,0.4519,0.97293,0.99234,0.98869,0.99415,0.74545,0.96897,0.44436,0.96504,0.00100275,0.00033425,0.00100275,0.00033425,0.00100275,0.00033425,0.00100275,0.00033425
39,9089.35,0.88867,0.44855,0.97046,0.98889,0.99013,0.9937,0.74774,0.97122,0.44365,0.96523,0.0009285,0.0003095,0.0009285,0.0003095,0.0009285,0.0003095,0.0009285,0.0003095
40,9321.95,0.88415,0.4434,0.96852,0.99063,0.98783,0.99383,0.74415,0.97915,0.44393,0.96825,0.00085425,0.00028475,0.00085425,0.00028475,0.00085425,0.00028475,0.00085425,0.00028475
41,9549.45,0.87546,0.43541,0.95384,0.99296,0.98663,0.99398,0.74576,0.97052,0.44279,0.96438,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026
42,9778.59,0.8628,0.42841,0.9459,0.99209,0.98922,0.99396,0.74569,0.97063,0.43835,0.96368,0.00070575,0.00023525,0.00070575,0.00023525,0.00070575,0.00023525,0.00070575,0.00023525
43,10009.2,0.85533,0.42269,0.94556,0.99448,0.98895,0.99424,0.74327,0.97362,0.43736,0.96825,0.0006315,0.0002105,0.0006315,0.0002105,0.0006315,0.0002105,0.0006315,0.0002105
44,10237.4,0.85742,0.41746,0.95012,0.9932,0.98816,0.99432,0.75174,0.9629,0.42979,0.96348,0.00055725,0.00018575,0.00055725,0.00018575,0.00055725,0.00018575,0.00055725,0.00018575
45,10464.9,0.85479,0.41659,0.94846,0.99172,0.98911,0.99413,0.7485,0.96736,0.43185,0.96426,0.000483,0.000161,0.000483,0.000161,0.000483,0.000161,0.000483,0.000161
46,10695.8,0.85335,0.41271,0.94215,0.99256,0.98783,0.99431,0.7493,0.96819,0.42965,0.96346,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625
47,10926.1,0.84532,0.40765,0.94284,0.99288,0.98889,0.99427,0.7468,0.97222,0.42466,0.96425,0.0003345,0.0001115,0.0003345,0.0001115,0.0003345,0.0001115,0.0003345,0.0001115
48,11155.4,0.84148,0.40734,0.94043,0.99201,0.98955,0.99445,0.7467,0.97201,0.42495,0.96446,0.00026025,8.675e-05,0.00026025,8.675e-05,0.00026025,8.675e-05,0.00026025,8.675e-05
49,11382.7,0.84789,0.40585,0.93596,0.99349,0.99016,0.99435,0.74512,0.97163,0.42135,0.96347,0.000186,6.2e-05,0.000186,6.2e-05,0.000186,6.2e-05,0.000186,6.2e-05
50,11613.3,0.83923,0.3995,0.93988,0.99263,0.98945,0.99435,0.7516,0.96508,0.41922,0.96154,0.00011175,3.725e-05,0.00011175,3.725e-05,0.00011175,3.725e-05,0.00011175,3.725e-05
